DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2079.70,2308.30,981.00,2.25,108.49,0.46,2.25,1.00,1.00,2.35,5205.12,2212.12,0.68,2.76,1.09,0.30
2079.85,2330.40,948.10,2.26,115.98,0.44,2.26,1.00,1.00,2.46,5270.31,2144.17,0.77,2.77,1.09,0.30
2080.00,2341.50,955.40,2.27,115.21,0.44,2.27,1.00,1.00,2.45,5305.66,2164.86,0.76,2.77,1.09,0.30
2080.16,2348.00,955.40,2.26,118.31,0.43,2.26,1.00,1.00,2.46,5311.89,2161.41,0.79,2.78,1.09,0.31
2080.31,2368.20,990.60,2.26,114.66,0.44,2.26,1.00,0.99,2.39,5345.94,2236.16,0.75,2.77,1.09,0.31
2080.46,2372.30,988.50,2.25,117.76,0.42,2.25,1.00,0.99,2.40,5340.77,2225.42,0.79,2.78,1.09,0.31
2080.61,2380.00,990.80,2.25,114.68,0.42,2.25,1.00,0.99,2.40,5359.12,2231.01,0.75,2.77,1.09,0.31
2080.77,2380.40,990.50,2.25,113.07,0.43,2.25,1.00,0.97,2.40,5365.34,2232.55,0.73,2.77,1.09,0.31
2080.92,2378.00,992.10,2.26,108.74,0.41,2.26,1.00,0.96,2.40,5379.04,2244.13,0.68,2.76,1.09,0.30
2081.07,2377.70,992.10,2.26,105.16,0.40,2.26,1.00,0.97,2.40,5382.57,2245.89,0.64,2.75,1.09,0.29
2081.22,2369.90,986.10,2.27,105.79,0.40,2.27,1.00,1.00,2.40,5370.37,2234.58,0.65,2.75,1.09,0.29
2081.38,2375.80,983.50,2.26,105.98,0.44,2.26,1.00,1.00,2.42,5379.13,2226.77,0.65,2.75,1.09,0.29
2081.53,2388.80,954.30,2.27,105.46,0.42,2.27,1.00,0.99,2.50,5414.36,2162.98,0.65,2.75,1.09,0.29
2081.68,2367.20,942.70,2.27,101.71,0.43,2.27,1.00,0.99,2.51,5378.33,2141.83,0.61,2.75,1.09,0.29
2081.83,2329.20,942.70,2.28,94.57,0.41,2.28,1.00,1.00,2.47,5305.92,2147.47,0.52,2.73,1.09,0.28
2081.99,2312.60,916.50,2.28,93.93,0.42,2.28,1.00,1.00,2.52,5266.13,2087.01,0.52,2.73,1.09,0.28
2082.14,2286.50,907.90,2.28,95.72,0.40,2.27,1.00,1.00,2.52,5182.52,2057.82,0.54,2.74,1.09,0.29
2082.29,2280.30,905.80,2.25,104.47,0.41,2.24,1.00,1.00,2.52,5113.46,2031.21,0.64,2.75,1.09,0.31
