DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2155.59,2760.80,1059.80,2.18,70.85,0.29,2.18,0.72,1.00,2.61,6025.23,2312.93,0.26,2.69,1.00,0.30
2155.75,2762.40,1233.30,2.20,71.22,0.31,2.20,0.74,1.00,2.24,6086.68,2717.46,0.26,2.69,1.01,0.29
2155.90,2693.20,1355.40,2.21,70.69,0.32,2.21,0.75,1.00,1.99,5946.52,2992.69,0.25,2.69,1.01,0.29
2156.05,2732.80,1363.30,2.20,64.78,0.32,2.19,0.74,1.00,2.00,5991.21,2988.81,0.19,2.68,1.01,0.29
2156.20,2736.10,1362.90,2.18,61.69,0.32,2.18,0.71,1.00,2.01,5952.07,2964.83,0.15,2.67,1.00,0.30
2156.36,2706.50,1256.60,2.16,58.89,0.32,2.16,0.70,1.00,2.15,5848.75,2715.51,0.12,2.67,1.00,0.30
2156.51,2695.10,1256.60,2.16,56.61,0.31,2.16,0.70,1.00,2.14,5823.40,2715.18,0.09,2.66,1.00,0.30
2156.66,2660.80,1327.30,2.16,56.16,0.31,2.16,0.69,1.00,2.00,5739.57,2863.10,0.09,2.66,0.99,0.30
2156.81,2680.70,1309.40,2.16,54.50,0.31,2.15,0.68,1.00,2.05,5774.34,2820.50,0.07,2.66,0.99,0.30
2156.97,2627.90,1401.20,2.15,55.04,0.32,2.15,0.67,1.00,1.88,5639.52,3007.00,0.08,2.66,0.99,0.31
2157.12,2629.80,1400.00,2.14,55.76,0.32,2.14,0.66,1.00,1.88,5629.16,2996.74,0.08,2.66,0.98,0.31
2157.27,2609.10,1400.00,2.13,57.69,0.32,2.13,0.65,1.00,1.86,5559.51,2983.14,0.11,2.67,0.98,0.32
2157.42,2623.30,1270.70,2.13,56.77,0.32,2.12,0.65,1.00,2.06,5573.91,2699.94,0.10,2.67,0.98,0.32
2157.58,2590.80,1196.90,2.12,55.79,0.32,2.12,0.64,1.00,2.16,5492.07,2537.23,0.08,2.66,0.98,0.32
2157.73,2555.00,1199.70,2.11,57.47,0.32,2.11,0.62,0.99,2.13,5394.42,2532.95,0.10,2.67,0.97,0.33
2157.88,2531.60,1229.30,2.11,59.10,0.32,2.11,0.61,0.97,2.06,5343.24,2594.58,0.12,2.67,0.97,0.33
2158.03,2451.00,1229.30,2.12,59.56,0.33,2.12,0.62,0.98,1.99,5186.32,2601.20,0.13,2.67,0.97,0.33
2158.19,2209.60,1044.00,2.12,58.18,0.33,2.12,0.62,0.98,2.12,4673.63,2208.21,0.11,2.67,0.97,0.33
2158.34,2200.10,1019.60,2.11,57.25,0.34,2.11,0.63,0.92,2.16,4642.74,2151.60,0.10,2.67,0.98,0.33
2158.49,2238.40,970.40,2.10,56.43,0.34,2.10,0.62,0.92,2.31,4709.59,2041.72,0.09,2.66,0.97,0.33
2158.64,2323.60,928.20,2.10,56.99,0.35,2.10,0.60,0.99,2.50,4881.97,1950.18,0.10,2.67,0.97,0.33
2158.79,2421.70,1076.70,2.10,61.90,0.38,2.09,0.58,0.98,2.25,5062.22,2250.69,0.15,2.67,0.96,0.34
2158.95,2511.90,1075.10,2.08,65.25,0.39,2.08,0.55,0.97,2.34,5226.94,2237.14,0.19,2.68,0.95,0.35
2159.10,2580.50,1101.30,2.07,65.35,0.40,2.07,0.54,0.96,2.34,5352.00,2284.12,0.19,2.68,0.95,0.35
2159.25,2568.60,1144.00,2.07,61.51,0.37,2.07,0.55,0.97,2.25,5318.23,2368.63,0.15,2.67,0.95,0.35
2159.40,2581.70,1194.90,2.07,58.88,0.34,2.07,0.56,0.97,2.16,5343.09,2472.97,0.12,2.67,0.95,0.35
2159.56,2592.80,1200.20,2.08,58.04,0.34,2.09,0.59,0.98,2.16,5422.19,2509.92,0.11,2.67,0.96,0.34
2159.71,2606.50,1219.90,2.11,57.63,0.35,2.12,0.62,0.99,2.14,5515.96,2581.59,0.11,2.67,0.97,0.32
2159.86,2616.70,1219.90,2.16,58.17,0.35,2.17,0.63,1.00,2.15,5669.41,2643.06,0.11,2.67,0.97,0.30
2160.01,2631.80,1216.10,2.19,59.81,0.32,2.18,0.62,0.98,2.16,5749.09,2656.54,0.13,2.67,0.97,0.29
2160.17,2621.50,1318.20,2.17,60.47,0.33,2.16,0.57,0.92,1.99,5673.00,2852.62,0.14,2.67,0.96,0.30
2160.32,2628.10,1376.70,2.14,59.92,0.33,2.14,0.47,0.86,1.91,5620.50,2944.23,0.13,2.67,0.93,0.31
2160.47,2607.10,1345.90,2.12,53.96,0.34,2.13,0.40,0.82,1.94,5559.76,2870.19,0.06,2.66,0.90,0.30
2160.62,2582.10,1301.40,2.15,52.59,0.32,2.16,0.39,0.80,1.98,5574.26,2809.48,0.05,2.66,0.90,0.28
2160.78,2544.50,1301.40,2.19,53.17,0.31,2.20,0.39,0.83,1.96,5586.50,2857.25,0.05,2.66,0.90,0.26
2160.93,2512.50,1182.10,2.20,55.36,0.31,2.19,0.35,0.83,2.13,5493.83,2584.78,0.08,2.66,0.89,0.27
2161.08,2532.80,1178.90,2.16,56.82,0.32,2.14,0.31,0.83,2.15,5416.67,2521.20,0.10,2.67,0.88,0.29
2161.23,2568.70,1194.70,2.11,55.23,0.33,2.10,0.30,0.80,2.15,5396.93,2510.11,0.08,2.66,0.87,0.31
2161.39,2568.20,1192.20,2.08,56.41,0.34,2.08,0.29,0.78,2.15,5334.19,2476.22,0.09,2.66,0.87,0.33
2161.54,2529.00,1224.20,2.07,54.86,0.35,2.07,0.29,0.77,2.07,5230.57,2531.94,0.07,2.66,0.87,0.33
2161.69,2510.70,1224.20,2.07,56.95,0.35,2.07,0.29,0.76,2.05,5195.29,2533.19,0.10,2.67,0.87,0.33
2161.84,2537.90,1304.20,2.07,55.37,0.34,2.08,0.28,0.76,1.95,5276.99,2711.79,0.08,2.66,0.87,0.33
2162.00,2545.10,1338.40,2.09,53.12,0.32,2.09,0.29,0.77,1.90,5328.82,2802.28,0.05,2.66,0.87,0.32
2162.15,2552.50,1314.00,2.10,55.17,0.31,2.10,0.29,0.79,1.94,5360.13,2759.34,0.08,2.66,0.87,0.31
2162.30,2535.70,1314.70,2.10,55.11,0.30,2.10,0.29,0.78,1.93,5326.24,2761.53,0.08,2.66,0.87,0.31
2162.45,2504.80,1417.80,2.10,58.94,0.31,2.10,0.28,0.77,1.77,5264.02,2979.61,0.12,2.67,0.87,0.32
2162.60,2498.90,1417.80,2.11,55.43,0.30,2.11,0.27,0.79,1.76,5262.57,2985.82,0.08,2.66,0.86,0.31
2162.76,2474.00,1377.60,2.10,57.13,0.30,2.10,0.27,0.80,1.80,5204.94,2898.27,0.10,2.67,0.86,0.31
2162.91,2463.10,1417.80,2.10,54.85,0.29,2.10,0.27,0.78,1.74,5173.30,2977.84,0.07,2.66,0.86,0.31
2163.06,2470.40,1345.60,2.09,54.06,0.31,2.09,0.27,0.75,1.84,5164.59,2813.10,0.06,2.66,0.87,0.32
2163.21,2432.50,1317.20,2.08,51.89,0.30,2.08,0.29,0.71,1.85,5063.74,2742.02,0.04,2.66,0.87,0.32
2163.37,2444.20,1229.80,2.07,52.25,0.32,2.07,0.30,0.71,1.99,5061.93,2546.91,0.04,2.66,0.87,0.33
2163.52,2432.00,1015.30,2.07,52.96,0.32,2.06,0.29,0.72,2.40,5020.20,2095.81,0.05,2.66,0.87,0.33
2163.67,2382.50,1015.30,2.06,54.92,0.32,2.06,0.28,0.73,2.35,4912.89,2093.62,0.07,2.66,0.87,0.33
2163.82,2373.10,1015.30,2.06,56.95,0.32,2.07,0.24,0.72,2.34,4911.18,2101.18,0.10,2.67,0.86,0.33
2163.98,2378.50,735.30,2.09,61.31,0.31,2.09,0.21,0.76,3.23,4980.26,1539.62,0.15,2.67,0.84,0.32
2164.13,2189.50,735.30,2.11,61.26,0.31,2.11,0.20,0.77,2.98,4612.06,1548.87,0.15,2.67,0.84,0.31
2164.28,2065.90,735.30,2.11,61.69,0.30,2.11,0.23,0.75,2.81,4351.50,1548.80,0.15,2.67,0.85,0.31
2164.43,1997.90,1080.00,2.10,60.86,0.31,2.11,0.30,0.72,1.85,4206.31,2273.80,0.14,2.67,0.87,0.32
2164.59,1989.40,1076.50,2.10,63.44,0.31,2.13,0.42,0.78,1.85,4229.52,2288.67,0.17,2.68,0.91,0.31
2164.74,2009.70,1128.50,2.07,68.48,0.35,2.17,0.56,0.95,1.78,4357.12,2446.64,0.23,2.69,0.95,0.30
2164.89,1964.70,1072.20,2.01,79.59,0.41,2.24,0.69,1.00,1.83,4404.49,2403.67,0.35,2.71,1.00,0.27
2165.04,2033.00,968.80,1.97,90.27,0.48,2.28,0.76,1.00,2.10,4637.00,2209.70,0.48,2.73,1.02,0.26
2165.20,2026.70,968.80,1.96,95.62,0.52,2.27,0.71,0.98,2.09,4605.55,2201.54,0.54,2.74,1.00,0.27
2165.35,2023.20,822.70,2.00,88.47,0.47,2.23,0.63,0.91,2.46,4506.70,1832.57,0.45,2.72,0.97,0.28
2165.50,2047.50,1077.00,2.05,83.59,0.40,2.17,0.55,0.89,1.90,4434.64,2332.65,0.40,2.71,0.95,0.31
2165.65,2019.10,1214.20,2.09,82.15,0.33,2.13,0.53,1.00,1.66,4309.45,2591.52,0.38,2.71,0.94,0.33
2165.81,2031.40,1106.60,2.11,85.10,0.36,2.11,0.58,1.00,1.84,4294.14,2339.22,0.42,2.72,0.96,0.34
2165.96,2034.80,1106.60,2.10,87.57,0.38,2.16,0.68,1.00,1.84,4397.30,2391.42,0.44,2.72,0.99,0.32
2166.11,2039.00,1067.90,2.08,88.05,0.41,2.24,0.77,1.00,1.91,4564.11,2390.39,0.45,2.72,1.02,0.28
2166.26,2032.00,1030.90,2.06,91.82,0.43,2.23,0.68,0.98,1.97,4535.42,2300.97,0.49,2.73,0.99,0.29
2166.41,2117.20,957.50,2.07,88.17,0.44,2.20,0.55,0.90,2.21,4657.70,2106.44,0.45,2.72,0.95,0.29
2166.57,2172.20,983.20,2.07,84.77,0.45,2.13,0.45,0.79,2.21,4623.70,2092.82,0.41,2.72,0.92,0.33
2166.72,2267.50,983.20,2.06,76.58,0.42,2.09,0.35,0.77,2.31,4745.50,2057.68,0.32,2.70,0.89,0.34
2166.87,2333.00,1057.50,2.06,72.30,0.41,2.05,0.27,0.77,2.21,4779.18,2166.30,0.27,2.69,0.86,0.35
2167.02,2452.90,1145.80,2.04,64.06,0.38,2.04,0.22,0.75,2.14,4996.56,2333.99,0.18,2.68,0.85,0.35
2167.18,2581.00,1231.20,2.04,62.36,0.35,2.04,0.21,0.73,2.10,5256.51,2507.48,0.16,2.68,0.84,0.35
2167.33,2619.60,1236.10,2.04,61.71,0.34,2.04,0.20,0.72,2.12,5337.32,2518.50,0.15,2.67,0.84,0.35
2167.48,2626.40,1242.50,2.04,64.69,0.35,2.04,0.20,0.74,2.11,5367.99,2539.50,0.19,2.68,0.84,0.35
2167.63,2744.90,1242.50,2.05,64.34,0.35,2.05,0.19,0.76,2.21,5629.02,2548.02,0.18,2.68,0.84,0.34
2167.79,2933.00,1306.70,2.06,63.79,0.35,2.06,0.19,0.74,2.24,6032.78,2687.70,0.17,2.68,0.84,0.34
2167.94,3419.80,1351.10,2.06,64.55,0.32,2.06,0.19,0.75,2.53,7053.83,2786.84,0.18,2.68,0.84,0.34
2168.09,2754.70,1387.50,2.07,64.11,0.32,2.08,0.20,0.77,1.99,5721.09,2881.63,0.18,2.68,0.84,0.33
2168.24,2801.00,1415.00,2.09,63.33,0.31,2.09,0.20,0.78,1.98,5853.55,2957.08,0.17,2.68,0.84,0.32
2168.40,2801.70,1422.80,2.11,62.14,0.31,2.11,0.21,0.79,1.97,5901.95,2997.21,0.16,2.68,0.84,0.31
2168.55,2816.40,1422.80,2.12,61.77,0.33,2.13,0.21,0.81,1.98,5985.44,3023.75,0.15,2.67,0.85,0.30
2168.70,2846.70,1427.30,2.13,63.16,0.33,2.13,0.22,0.84,1.99,6071.99,3044.42,0.17,2.68,0.85,0.30
2168.85,2799.50,1429.60,2.13,63.36,0.33,2.13,0.22,0.85,1.96,5973.01,3050.19,0.17,2.68,0.85,0.30
2169.01,2754.80,1429.20,2.14,62.92,0.31,2.14,0.22,0.87,1.93,5889.92,3055.71,0.17,2.68,0.85,0.29
2169.16,2820.50,1418.40,2.14,62.96,0.31,2.14,0.22,0.90,1.99,6032.23,3033.55,0.17,2.68,0.85,0.29
2169.31,2852.10,1418.40,2.14,62.94,0.30,2.14,0.23,0.93,2.01,6096.03,3031.66,0.17,2.68,0.85,0.30
2169.46,2784.90,1492.90,2.13,64.98,0.30,2.13,0.24,0.94,1.87,5932.15,3180.05,0.19,2.68,0.85,0.30
2169.62,2812.70,1405.10,2.13,63.44,0.31,2.13,0.25,0.91,2.00,5981.51,2988.10,0.17,2.68,0.86,0.30
2169.77,2781.00,1461.40,2.13,63.62,0.30,2.13,0.26,0.88,1.90,5922.59,3112.29,0.17,2.68,0.86,0.30
2169.92,2827.60,1480.00,2.13,62.61,0.31,2.13,0.26,0.90,1.91,6019.40,3150.63,0.16,2.68,0.86,0.30
2170.07,2884.10,1541.50,2.13,62.13,0.30,2.13,0.24,0.91,1.87,6134.23,3278.64,0.16,2.67,0.86,0.30
2170.22,2823.50,1541.50,2.13,62.99,0.31,2.13,0.23,0.87,1.83,6006.26,3279.14,0.17,2.68,0.85,0.30
2170.38,2828.50,1537.10,2.13,63.83,0.31,2.14,0.22,0.86,1.84,6044.75,3284.92,0.18,2.68,0.85,0.30
2170.53,2812.40,1514.70,2.14,65.51,0.30,2.14,0.21,0.87,1.86,6021.67,3243.15,0.19,2.68,0.84,0.29
2170.68,2798.00,1493.80,2.14,66.30,0.30,2.14,0.21,0.88,1.87,5976.90,3190.96,0.20,2.68,0.85,0.30
2170.83,2798.30,1498.50,2.13,64.26,0.30,2.12,0.21,0.86,1.87,5945.70,3183.95,0.18,2.68,0.85,0.30
2170.99,2835.80,1498.50,2.11,64.90,0.30,2.11,0.21,0.84,1.89,5971.60,3155.53,0.19,2.68,0.84,0.31
2171.14,2847.30,1475.10,2.10,64.24,0.31,2.10,0.21,0.85,1.93,5970.90,3093.34,0.18,2.68,0.84,0.32
2171.29,2853.80,1506.40,2.09,63.56,0.30,2.10,0.20,0.86,1.89,5990.22,3161.98,0.17,2.68,0.84,0.32
2171.44,2867.40,1463.80,2.10,63.48,0.30,2.11,0.21,0.88,1.96,6045.36,3086.14,0.17,2.68,0.84,0.31
2171.60,2881.50,1458.00,2.12,62.26,0.31,2.12,0.20,0.91,1.98,6108.00,3090.57,0.16,2.68,0.84,0.30
2171.75,2894.50,1458.00,2.13,63.60,0.31,2.13,0.20,0.90,1.99,6157.31,3101.52,0.17,2.68,0.84,0.30
2171.90,2887.70,1468.00,2.13,62.51,0.32,2.13,0.19,0.87,1.97,6144.87,3123.82,0.16,2.68,0.84,0.30
2172.05,2899.20,1452.90,2.12,63.28,0.33,2.12,0.20,0.84,2.00,6155.00,3084.51,0.17,2.68,0.84,0.30
2172.21,2901.10,1456.20,2.12,64.71,0.34,2.12,0.20,0.85,1.99,6159.21,3091.60,0.19,2.68,0.84,0.30
2172.36,2914.80,1460.60,2.12,63.28,0.32,2.13,0.21,0.88,2.00,6198.70,3106.15,0.17,2.68,0.85,0.30
2172.51,2900.20,1411.00,2.13,62.75,0.32,2.13,0.24,0.92,2.06,6190.47,3011.78,0.16,2.68,0.85,0.30
2172.66,2907.80,1411.00,2.15,63.19,0.31,2.15,0.27,0.97,2.06,6253.14,3034.31,0.17,2.68,0.86,0.29
2172.82,2886.20,1397.00,2.16,66.46,0.32,2.16,0.30,0.95,2.07,6227.51,3014.29,0.21,2.68,0.87,0.29
2172.97,2867.60,1363.30,2.16,66.91,0.32,2.15,0.30,0.95,2.10,6171.82,2934.18,0.21,2.68,0.87,0.29
2173.12,2825.70,1381.30,2.15,65.52,0.32,2.14,0.30,0.96,2.05,6051.90,2958.38,0.19,2.68,0.87,0.30
2173.27,2795.80,1369.00,2.13,66.39,0.31,2.12,0.30,0.95,2.04,5937.01,2907.14,0.20,2.68,0.87,0.31
2173.43,2760.40,1369.00,2.11,67.96,0.31,2.11,0.31,0.90,2.02,5829.90,2891.30,0.22,2.69,0.88,0.32
2173.58,2738.20,1350.00,2.11,69.10,0.32,2.11,0.34,0.90,2.03,5780.46,2849.91,0.24,2.69,0.89,0.32
2173.73,2692.00,1320.50,2.12,67.11,0.32,2.12,0.39,0.93,2.04,5711.62,2801.70,0.21,2.68,0.90,0.32
2173.88,2812.90,1305.60,2.13,65.63,0.32,2.13,0.44,0.96,2.15,5989.32,2779.93,0.20,2.68,0.92,0.31
2174.03,2859.20,1311.00,2.13,66.06,0.31,2.14,0.46,0.99,2.18,6118.90,2805.64,0.20,2.68,0.92,0.31
2174.19,2877.70,1372.60,2.16,70.35,0.33,2.18,0.49,1.00,2.10,6263.72,2987.66,0.25,2.69,0.93,0.29
2174.34,2862.20,1372.60,2.20,78.56,0.34,2.22,0.54,1.00,2.09,6355.84,3048.01,0.34,2.70,0.95,0.28
2174.49,2925.70,1387.60,2.25,82.90,0.36,2.24,0.56,1.00,2.11,6562.42,3112.42,0.39,2.71,0.95,0.27
2174.64,2907.50,1458.60,2.24,79.46,0.33,2.22,0.49,1.00,1.99,6453.51,3237.52,0.35,2.71,0.93,0.27
2174.80,2904.20,1467.20,2.20,74.05,0.31,2.18,0.42,1.00,1.98,6338.49,3202.20,0.29,2.70,0.91,0.29
2174.95,2892.50,1503.60,2.16,68.83,0.29,2.16,0.38,0.99,1.92,6250.17,3249.01,0.23,2.69,0.90,0.29
2175.10,2901.30,1503.60,2.15,72.75,0.30,2.15,0.36,0.97,1.93,6231.95,3229.71,0.28,2.69,0.89,0.30
2175.25,2911.20,1514.70,2.15,69.21,0.29,2.15,0.34,0.96,1.92,6251.13,3252.47,0.24,2.69,0.89,0.30
2175.41,2925.00,1524.10,2.15,70.01,0.29,2.15,0.32,0.94,1.92,6282.52,3273.57,0.25,2.69,0.88,0.30
2175.56,2925.20,1537.30,2.15,66.05,0.29,2.15,0.27,0.90,1.90,6275.76,3298.14,0.20,2.68,0.86,0.30
2175.71,2924.50,1534.60,2.14,68.39,0.30,2.14,0.23,0.89,1.91,6264.89,3287.43,0.23,2.69,0.85,0.30
2175.86,2922.70,1534.30,2.13,66.33,0.31,2.13,0.20,0.85,1.90,6216.72,3263.53,0.20,2.68,0.84,0.30
2176.02,2929.30,1534.30,2.12,66.71,0.31,2.12,0.20,0.80,1.91,6223.82,3259.89,0.21,2.68,0.84,0.30
2176.17,2930.60,1535.60,2.12,65.22,0.30,2.13,0.20,0.80,1.91,6227.69,3263.23,0.19,2.68,0.84,0.30
2176.32,2915.70,1528.40,2.13,67.74,0.30,2.13,0.20,0.84,1.91,6207.53,3253.96,0.22,2.69,0.84,0.30
2176.47,2915.00,1518.70,2.13,65.31,0.29,2.13,0.20,0.88,1.92,6207.10,3233.87,0.19,2.68,0.84,0.30
2176.63,2917.40,1514.50,2.13,65.12,0.28,2.13,0.20,0.92,1.93,6217.78,3227.82,0.19,2.68,0.84,0.30
2176.78,2919.70,1514.50,2.14,63.74,0.29,2.13,0.21,0.94,1.93,6229.00,3231.09,0.17,2.68,0.84,0.30
2176.93,2895.40,1505.20,2.13,65.67,0.31,2.13,0.21,0.93,1.92,6166.58,3205.75,0.20,2.68,0.84,0.30
2177.08,2915.10,1450.50,2.13,63.33,0.31,2.12,0.22,0.89,2.01,6193.18,3081.61,0.17,2.68,0.85,0.30
2177.24,2901.50,1446.80,2.12,63.38,0.31,2.12,0.23,0.88,2.01,6160.19,3071.71,0.17,2.68,0.85,0.30
2177.39,2898.40,1441.70,2.13,64.86,0.31,2.13,0.24,0.89,2.01,6164.90,3066.50,0.19,2.68,0.85,0.30
2177.54,2901.50,1392.00,2.13,68.60,0.31,2.13,0.26,0.87,2.08,6174.97,2962.45,0.23,2.69,0.86,0.31
2177.69,2904.90,1392.00,2.13,69.20,0.30,2.13,0.28,0.88,2.09,6186.09,2964.32,0.24,2.69,0.87,0.31
2177.84,2916.40,1486.40,2.13,67.18,0.31,2.13,0.29,0.86,1.96,6198.59,3159.23,0.21,2.68,0.87,0.31
2178.00,2916.80,1452.40,2.12,65.53,0.30,2.12,0.31,0.85,2.01,6189.37,3081.95,0.19,2.68,0.88,0.31
2178.15,2897.90,1389.30,2.12,66.02,0.31,2.12,0.33,0.86,2.09,6147.92,2947.41,0.20,2.68,0.88,0.31
2178.30,2888.30,1439.70,2.12,66.58,0.31,2.12,0.36,0.88,2.01,6126.14,3053.63,0.21,2.68,0.89,0.31
2178.45,2869.60,1439.70,2.12,67.19,0.33,2.12,0.38,0.90,1.99,6088.51,3054.65,0.21,2.68,0.90,0.32
2178.61,2858.80,1372.30,2.12,68.80,0.32,2.12,0.40,0.91,2.08,6064.28,2911.02,0.23,2.69,0.90,0.32
2178.76,2858.90,1420.00,2.13,68.62,0.32,2.12,0.42,0.90,2.01,6070.92,3015.39,0.23,2.69,0.91,0.32
2178.91,2887.10,1426.60,2.12,68.77,0.31,2.12,0.45,0.90,2.02,6121.66,3024.89,0.23,2.69,0.92,0.32
2179.06,2888.90,1383.00,2.12,66.63,0.31,2.12,0.50,0.90,2.09,6131.29,2935.22,0.21,2.68,0.93,0.32
2179.22,2878.40,1383.00,2.12,69.38,0.31,2.12,0.55,0.90,2.08,6111.65,2936.50,0.24,2.69,0.95,0.32
2179.37,2849.20,1382.40,2.14,72.95,0.30,2.15,0.58,0.90,2.06,6114.45,2966.66,0.28,2.69,0.96,0.32
2179.52,2846.60,1453.10,2.17,79.31,0.31,2.18,0.60,0.94,1.96,6191.51,3160.57,0.35,2.71,0.97,0.31
2179.67,2846.10,1454.50,2.21,79.92,0.32,2.21,0.61,0.99,1.96,6301.83,3220.55,0.36,2.71,0.97,0.28
2179.83,2792.60,1463.60,2.23,80.32,0.34,2.23,0.56,1.00,1.91,6223.16,3261.55,0.36,2.71,0.95,0.27
2179.98,2843.10,1495.70,2.22,72.71,0.32,2.21,0.41,0.97,1.90,6281.77,3304.72,0.28,2.69,0.91,0.27
2180.13,2869.80,1495.70,2.19,68.64,0.30,2.17,0.31,0.93,1.92,6240.78,3252.61,0.23,2.69,0.87,0.28
2180.28,2890.20,1495.40,2.15,62.73,0.29,2.14,0.27,0.93,1.93,6174.00,3194.45,0.16,2.68,0.86,0.30
2180.44,2897.80,1500.80,2.12,62.74,0.31,2.12,0.27,0.92,1.93,6148.29,3184.26,0.16,2.68,0.86,0.31
2180.59,2933.20,1482.50,2.12,62.09,0.33,2.12,0.27,0.97,1.98,6224.61,3146.04,0.16,2.67,0.86,0.31
2180.74,2899.30,1522.50,2.12,62.02,0.32,2.12,0.29,0.98,1.90,6145.89,3227.37,0.15,2.67,0.87,0.31
2180.89,2889.70,1497.70,2.12,59.31,0.30,2.12,0.31,0.93,1.93,6132.45,3178.38,0.12,2.67,0.88,0.31
2181.05,2879.00,1497.70,2.13,60.90,0.30,2.13,0.33,0.92,1.92,6131.44,3189.67,0.14,2.67,0.88,0.30
2181.20,2880.50,1399.50,2.13,63.50,0.30,2.14,0.36,0.92,2.06,6151.13,2988.54,0.17,2.68,0.89,0.30
2181.35,2871.80,1422.70,2.14,67.46,0.31,2.14,0.41,0.92,2.02,6135.59,3039.59,0.22,2.68,0.91,0.31
2181.50,2869.40,1382.90,2.13,69.31,0.30,2.13,0.43,0.93,2.07,6115.89,2947.54,0.24,2.69,0.91,0.31
2181.65,2894.00,1402.20,2.13,66.66,0.30,2.13,0.44,0.96,2.06,6156.85,2983.11,0.21,2.68,0.92,0.31
2181.81,2883.00,1402.20,2.13,66.82,0.30,2.13,0.46,1.00,2.06,6131.92,2982.37,0.21,2.68,0.92,0.32
2181.96,2921.30,1432.60,2.14,65.14,0.31,2.15,0.50,0.98,2.04,6280.05,3079.73,0.19,2.68,0.93,0.30
2182.11,2902.30,1373.30,2.18,71.63,0.33,2.18,0.55,0.95,2.11,6326.55,2993.57,0.26,2.69,0.95,0.29
2182.26,2905.70,1462.50,2.21,72.77,0.34,2.21,0.57,1.00,1.99,6434.25,3238.50,0.28,2.69,0.96,0.28
2182.42,2915.20,1405.30,2.21,72.77,0.35,2.21,0.55,1.00,2.07,6435.76,3102.42,0.28,2.69,0.95,0.28
2182.57,2894.00,1405.30,2.18,68.29,0.33,2.17,0.52,1.00,2.06,6280.82,3049.91,0.23,2.69,0.94,0.30
2182.72,2901.20,1527.50,2.15,65.79,0.33,2.15,0.52,1.00,1.90,6233.80,3282.14,0.20,2.68,0.94,0.31
2182.87,2915.70,1569.30,2.14,62.20,0.32,2.14,0.52,1.00,1.86,6248.02,3362.84,0.16,2.68,0.94,0.31
2183.03,2906.10,1512.40,2.14,63.35,0.32,2.14,0.52,1.00,1.92,6230.40,3242.44,0.17,2.68,0.94,0.31
2183.18,2865.10,1544.50,2.15,66.83,0.31,2.16,0.52,1.00,1.86,6190.50,3337.13,0.21,2.68,0.94,0.30
2183.33,2875.50,1544.50,2.17,74.72,0.32,2.18,0.52,0.99,1.86,6257.64,3361.13,0.30,2.70,0.94,0.30
2183.48,2909.00,1455.40,2.18,75.04,0.33,2.17,0.49,0.98,2.00,6317.78,3160.84,0.30,2.70,0.93,0.30
2183.64,2915.30,1452.50,2.16,69.82,0.33,2.15,0.45,0.95,2.01,6274.19,3126.01,0.24,2.69,0.92,0.30
2183.79,2896.00,1461.10,2.14,64.20,0.30,2.14,0.45,0.96,1.98,6198.72,3127.40,0.18,2.68,0.92,0.31
2183.94,2924.40,1593.60,2.14,61.71,0.30,2.14,0.46,0.95,1.84,6263.53,3413.20,0.15,2.67,0.92,0.30
2184.09,2759.50,1593.60,2.14,62.57,0.29,2.15,0.49,0.94,1.73,5920.05,3418.80,0.16,2.68,0.93,0.30
2184.25,2718.50,1450.50,2.15,63.50,0.31,2.15,0.52,0.95,1.87,5836.86,3114.35,0.17,2.68,0.94,0.31
2184.40,2725.50,1344.50,2.14,65.31,0.30,2.14,0.54,0.96,2.03,5843.59,2882.66,0.19,2.68,0.95,0.31
2184.55,2656.40,1283.50,2.15,68.63,0.30,2.16,0.58,0.97,2.07,5736.66,2771.80,0.23,2.69,0.96,0.31
2184.70,2489.20,1225.60,2.13,68.88,0.28,2.18,0.65,1.00,2.03,5414.37,2665.86,0.23,2.69,0.98,0.30
2184.86,2456.10,1225.60,2.12,74.47,0.33,2.18,0.73,0.98,2.00,5361.08,2675.19,0.30,2.70,1.01,0.30
2185.01,2519.20,1113.00,2.10,79.53,0.36,2.19,0.81,0.92,2.26,5517.81,2437.81,0.35,2.71,1.03,0.31
2185.16,2499.00,1074.50,2.10,83.02,0.36,2.20,0.89,0.91,2.33,5488.79,2360.03,0.39,2.71,1.06,0.31
2185.31,2501.20,989.30,2.08,77.33,0.32,2.20,0.93,1.00,2.53,5515.15,2181.41,0.33,2.70,1.07,0.30
2185.46,2502.90,1118.80,2.01,80.94,0.31,2.24,0.99,1.00,2.24,5594.16,2500.60,0.37,2.71,1.09,0.29
2185.62,2644.40,1123.80,1.97,84.75,0.41,2.26,1.00,1.00,2.35,5964.12,2534.59,0.41,2.72,1.09,0.28
2185.77,2680.10,1188.50,1.97,91.21,0.48,2.25,0.94,1.00,2.26,6028.86,2673.52,0.49,2.73,1.07,0.29
2185.92,2678.10,1207.10,2.04,87.51,0.48,2.21,0.79,1.00,2.22,5930.67,2673.13,0.44,2.72,1.03,0.30
2186.07,2754.70,1231.30,2.09,80.78,0.39,2.17,0.68,1.00,2.24,5972.30,2669.51,0.37,2.71,0.99,0.31
2186.23,2757.90,1284.30,2.10,71.99,0.33,2.15,0.67,0.99,2.15,5942.68,2767.39,0.27,2.69,0.99,0.32
