depth,name,id
1807,UNDEFINED,0
2027,BALDER,1
2076,SELE,2
2127,LISTA,3
2154,HEIMDAL,4
2183,OWC,5
2458,LISTA,6
2491,VALE,7
2501,TY,8
2583,VALE,9
2598,EKOFISK,10
