DEPTH,
2082.9,2
2083.05,2
2083.2,2
2083.36,2
2083.51,2
2083.66,2
2083.81,2
2083.97,2
2084.12,2
2084.27,2
2084.42,2
2084.58,2
2084.73,2
2084.88,2
2085.03,2
2085.19,2
2085.34,2
2085.49,2
2085.64,2
2085.8,2
2085.95,2
2086.1,2
2086.25,2
2086.4,2
2086.56,2
2086.71,2
2086.86,2
2087.01,2
2087.17,2
2087.32,2
2087.47,2
2087.62,2
2087.78,2
2087.93,2
2088.08,2
2088.23,2
2088.39,2
2088.54,2
2088.69,2
2088.84,2
2089,2
2089.15,2
2089.3,2
2089.45,2
2089.61,2
2089.76,2
2089.91,2
2090.06,2
2090.21,2
2090.37,2
2090.52,2
2090.67,2
2090.82,2
2090.98,2
2091.13,2
2091.28,2
2091.43,2
2091.59,2
2091.74,2
2091.89,2
2092.04,2
2092.2,2
2092.35,2
2092.5,2
2092.65,2
2092.81,2
2092.96,2
2093.11,2
2093.26,2
2093.42,2
2093.57,2
2093.72,2
2093.87,2
2094.02,2
2094.18,2
2094.33,2
2094.48,2
2094.63,2
2094.79,2
2094.94,2
2095.09,2
2095.24,2
2095.4,2
2095.55,2
2095.7,2
2095.85,2
2096.01,2
2096.16,2
2096.31,2
2096.46,2
2096.62,2
2096.77,2
2096.92,2
2097.07,2
2097.23,2
2097.38,2
2097.53,2
2097.68,2
2097.83,2
2097.99,2
2098.14,2
2098.29,2
2098.44,2
2098.6,2
2098.75,2
2098.9,2
2099.05,2
2099.21,2
2099.36,2
2099.51,2
2099.66,2
2099.82,2
2099.97,2
2100.12,2
2100.27,2
2100.43,2
2100.58,2
2100.73,2
2100.88,2
2101.04,2
2101.19,2
2101.34,2
2101.49,2
2101.64,2
2101.8,2
2101.95,2
2102.1,2
2102.25,2
2102.41,2
2102.56,2
2102.71,2
2102.86,2
2103.02,2
2103.17,2
2103.32,2
2103.47,2
2103.63,2
2103.78,2
2103.93,2
2104.08,2
2104.24,2
2104.39,2
2104.54,2
2104.69,2
2104.85,2
2105,2
2105.15,2
2105.3,2
2105.45,2
2105.61,2
2105.76,2
2105.91,2
2106.06,2
2106.22,2
2106.37,2
2106.52,2
2106.67,2
2106.83,2
2106.98,2
2107.13,2
2107.28,2
2107.44,2
2107.59,2
2107.74,2
2107.89,2
2108.05,2
2108.2,2
2108.35,2
2108.5,2
2108.66,2
2108.81,2
2108.96,2
2109.11,2
2109.26,2
2109.42,2
2109.57,2
2109.72,2
2109.87,2
2110.03,2
2110.18,2
2110.33,2
2110.48,2
2110.64,2
2110.79,2
2110.94,2
2111.09,2
2111.25,2
2111.4,2
2111.55,2
2111.7,2
2111.86,2
2112.01,2
2112.16,2
2112.31,2
2112.47,2
2112.62,2
2112.77,2
2112.92,2
2113.07,2
2113.23,2
2113.38,2
2113.53,2
2113.68,2
2113.84,2
2113.99,2
2114.14,2
2114.29,2
2114.45,2
2114.6,2
2114.75,2
2114.9,2
2115.06,2
2115.21,2
2115.36,2
2115.51,2
2115.67,2
2115.82,2
2115.97,2
2116.12,2
2116.28,2
2116.43,2
2116.58,2
2116.73,2
2116.88,2
2117.04,2
2117.19,2
2117.34,2
2117.49,2
2117.65,2
2117.8,2
2117.95,2
2118.1,2
2118.26,2
2118.41,2
2118.56,2
2118.71,2
2118.87,2
2119.02,2
2119.17,2
2119.32,2
2119.48,2
2119.63,2
2119.78,2
2119.93,2
2120.09,2
2120.24,2
2120.39,2
2120.54,2
2120.69,2
2120.85,2
2121,2
2121.15,2
2121.3,2
2121.46,2
2121.61,2
2121.76,2
2121.91,2
2122.07,2
2122.22,2
2122.37,2
2122.52,2
2122.68,2
2122.83,2
2122.98,2
2123.13,2
2123.29,2
2123.44,2
